,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
205,Chova,GR,10,30%,2.2,0.8,5.8,12.1,1.1,247,77.6%,7.7,203,3.01,1.55,0.39,0.39,-350,-9,-319,40%,40%,0,-
206,Chovy,KR,53,81.1%,6.0,4.4,1.8,6.2,10.0,473,71.6%,30.6,767,1.76,0.54,0.5,0.21,406,9,238,15.1%,3.8%,0,15
207,Chrislai,AT,17,11.8%,1.6,1.0,3.9,5.2,4.9,293,54.3%,9.8,213,1.05,0.26,0.24,0.26,-508,-11,-488,23.5%,11.8%,0,-
208,Cirilo,BR,21,47.6%,4.8,4.6,2.3,6.3,7.8,421,71.9%,27.3,724,1.33,0.48,0.35,0.18,88,-11,-45,14.3%,4.8%,0,-
209,Citrus,KR,28,78.6%,4.3,2.4,3.0,10.8,5.7,354,69.5%,12.8,349,1.56,0.43,0.34,0.31,-96,5,115,39.3%,7.1%,0,7
210,Cl0x,RS,14,7.1%,1.6,0.1,3.9,6.0,1.6,236,76.9%,11.4,230,2.9,1.38,0.33,0.24,-73,1,203,14.3%,21.4%,0,-
211,Clear,KR,43,37.2%,2.8,2.5,2.4,4.3,8.4,392,58.9%,21.9,469,0.98,0.33,0.22,0.17,-242,-8,-222,9.3%,11.6%,0,16
212,Click,IT,33,69.7%,3.7,1.4,3.1,10.1,1.3,272,72.4%,8.4,214,3.15,1.64,0.33,0.38,85,-4,76,24.2%,12.1%,0,-
213,Cloud2,TR,19,52.6%,4.1,4.7,2.5,5.5,8.6,425,66.8%,30.9,743,1.07,0.43,0.25,0.05,94,18,413,26.3%,5.3%,0,1
214,Clozer,KR,43,37.2%,3.0,2.4,2.5,5.0,9.7,410,62.2%,26.1,554,1.29,0.54,0.31,0.23,-82,2,50,18.6%,11.6%,0,13
