,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
63,Eintracht Frankfurt,S14,DE,18,33.3%,0.88,1797,-122,31:52,13.5,15.3,4.1,7.2,38.9,33.3,1.72,37.8,3.6,0.39,38.9,0.61,-0.1,-92,3.56,0.5,34.4,33.6,2277,3.2,0.86,1.38
64,Eintracht Spandau,S14,DE,35,65.7%,1.05,1886,79,34:40,16.1,15.4,7.7,5.1,60.0,65.7,2.46,48.5,2.5,0.37,37.1,0.74,0.1,116,4.66,0.94,59.6,32.5,2628,3.5,1.24,1.55
65,EKO Academy,S14,IT,14,21.4%,0.73,1741,-166,32:45,11.9,16.4,5.1,8.6,35.7,35.7,1.43,29.1,3.1,0.07,7.1,0.57,-0.3,-1615,3.07,0.79,37.5,30.7,2200,2.6,0.67,1.10
66,ENEMI3S,S14,IT,14,28.6%,0.71,1734,-199,32:19,11.1,15.8,4.9,7.9,42.9,35.7,1.93,36.9,2.4,0.36,38.5,0.86,-0.1,-738,3.86,0.64,28.6,32.0,2067,2.8,0.74,1.14
67,Entropiq,S14,CZ,32,75.0%,1.69,1942,261,30:25,15.9,9.4,8.4,3.3,59.4,78.1,2.28,56.7,3.3,0.63,62.5,0.84,0.4,2666,5.28,1.0,73.4,33.9,2479,3.1,1.08,1.23
68,EPIC-DUDES,S14,DE,18,33.3%,0.71,1813,-162,30:49,12.9,18.1,5.1,7.8,38.9,44.4,2.11,46.3,1.2,0.56,55.6,1.17,-0.3,-1453,3.11,0.67,35.3,32.5,2341,2.9,0.59,1.14
69,EQX,S14,CN,3,0.0%,0.33,1629,-584,24:12,9.0,26.3,1.3,9.3,33.3,-,0.67,27.8,-,-,-,-,-,-,-,0.0,0.0,28.8,2043,-,-,-
70,eSports Cologne GAMERS ONLY,S14,DE,18,11.1%,0.55,1697,-316,29:43,10.4,19.1,3.6,9.6,38.9,16.7,1.44,32.4,3.1,0.39,38.9,0.72,-0.6,-1358,3.67,0.28,19.4,30.7,2154,2.8,0.82,1.12
71,Esprit Shonen,S14,FR,22,50.0%,0.99,1821,-3,32:45,14.5,14.6,6.5,5.9,50.0,59.1,2.45,51.8,2.9,0.50,50.0,1.05,0.2,332,4.32,0.73,46.2,31.4,2258,2.7,0.87,1.22
72,Estral Esports,S14,LAT,37,86.5%,2.06,1984,315,30:36,17.7,8.6,8.5,3.6,48.6,59.5,2.43,58.7,2.2,0.62,62.2,0.97,0.0,1294,5.03,1.03,79.7,33.2,2589,3.5,1.41,1.52
73,eSuba,S14,CZ,14,35.7%,0.71,1754,-79,34:04,11.4,16.1,5.3,6.4,57.1,57.1,2.14,41.1,2.7,0.57,57.1,0.79,0.2,677,4.50,0.71,35.9,32.2,2261,2.9,0.81,1.20
74,Europe Saviors Club,S14,CZ,14,35.7%,0.92,1759,-138,33:27,14.1,15.1,5.1,7.6,35.7,42.9,2.14,41.2,1.9,0.21,21.4,0.86,-0.5,-2347,2.29,0.5,35.9,31.4,2242,3.1,0.76,1.18
75,FC Schalke 04 Evolution,S14,DE,22,45.5%,0.96,1808,-34,33:06,13.2,13.7,5.4,6.7,40.9,50.0,2.09,42.7,2.3,0.32,31.8,0.59,0.0,-327,2.77,1.0,58.7,33.1,2363,3.2,0.76,1.39
76,FearX,S14,KR,43,37.2%,0.86,1797,-84,33:05,11.4,13.3,5.1,6.3,60.5,37.2,2.19,47.9,1.6,0.56,55.8,1.02,-0.2,-391,2.77,0.6,45.9,34.4,2156,4.1,1.51,1.79
77,FearX Challengers,S14,KR,47,44.7%,0.87,1812,-59,31:50,14.7,16.9,5.2,6.2,55.3,53.2,2.3,53.8,2.4,0.57,57.4,1.06,0.3,-52,3.68,0.55,42.1,31.7,2684,3.5,1.34,1.65
78,Flamengo Academy,S14,BR,23,56.5%,0.96,1816,-26,35:14,15.3,15.9,6.4,7.2,43.5,30.4,3.13,60.9,1.4,0.52,52.2,1.17,-0.3,-1088,3.04,0.91,45.5,31.6,2329,3.4,1.41,1.50
79,Fluxo,S14,BR,18,38.9%,0.83,1778,-65,33:13,12.0,14.4,5.9,7.1,50.0,38.9,1.89,39.9,2.2,0.72,72.2,0.94,-0.4,-529,3.56,0.72,43.5,32.0,2130,3.5,1.39,1.56
80,Fluxo Academy,S14,BR,18,38.9%,0.85,1759,-85,33:52,13.4,15.9,5.3,7.2,61.1,27.8,2.61,55.7,2.6,0.50,52.9,1.00,-0.2,199,3.56,0.61,34.3,31.3,2252,3.1,1.06,1.43
81,FlyQuest,S14,,26,65.4%,1.08,1859,69,31:54,14.5,13.3,6.9,5.7,38.5,42.3,2.35,48.2,3.0,0.23,24.0,0.81,0.2,83,4.38,0.77,56.4,32.9,2509,3.6,1.03,1.41
82,FlyQuest Challengers,S14,,35,77.1%,1.51,1922,204,33:14,19.2,12.7,7.4,4.8,65.7,62.9,2.89,61.7,2.1,0.54,54.3,1.06,0.1,1000,3.69,0.94,71.9,32.6,2673,3.5,1.07,1.34
83,Fnatic,S14,EUW,51,56.9%,1.05,1882,47,31:58,16.5,15.8,6.5,6.0,49.0,52.9,2.53,55.4,2.1,0.35,35.3,0.90,-0.1,425,4.31,0.75,52.1,33.0,2582,3.5,1.05,1.66
84,Forsaken,S14,PL,17,41.2%,0.96,1775,-54,33:39,14.6,15.1,5.7,6.5,76.5,41.2,2.59,48.7,2.9,0.47,50.0,1.12,-0.2,194,2.65,0.71,50.0,31.3,2252,2.9,0.88,1.07
85,Fox Gaming,S14,AL,22,59.1%,1.0,1834,-14,31:32,15.0,15.0,6.1,6.1,31.8,36.4,2.18,47.1,2.2,0.64,63.6,0.73,-0.2,-854,3.18,0.86,56.8,32.1,2528,3.1,0.92,1.22
86,Frank Esports,S14,PCS,44,59.1%,1.28,1852,87,31:44,14.3,11.2,6.2,5.0,61.4,68.2,2.34,51.8,2.3,0.52,53.5,0.98,0.2,530,3.95,0.7,59.6,33.4,2513,3.5,1.27,1.90
87,Funplus Phoenix,S14,CN,48,56.3%,1.01,1863,23,31:18,13.9,13.6,6.5,5.4,50.0,47.9,2.4,54.4,-,-,-,-,-,-,-,0.69,49.7,33.1,2368,-,-,-
88,FURIA Academy,S14,BR,30,46.7%,0.88,1765,-63,33:40,13.5,15.3,5.9,6.7,46.7,40.0,2.4,48.6,1.6,0.30,30.0,1.17,-0.3,-970,3.07,0.8,45.4,31.0,2355,3.6,1.62,1.56
89,FURIA Esports,S14,BR,18,22.2%,0.71,1733,-145,33:56,11.4,16.1,4.7,8.0,55.6,50.0,2.17,42.8,1.3,0.22,23.5,1.17,0.0,-96,3.67,0.44,30.4,32.2,2030,3.9,1.57,1.88
90,FURY Global,S14,OCE,16,25.0%,0.6,1802,-201,32:02,14.1,23.5,5.8,8.1,50.0,37.5,1.31,27.7,2.8,0.56,56.3,0.31,-0.3,-1440,4.44,0.69,42.7,30.6,2339,3.1,1.07,1.17
91,FUT Esports,S14,TR,19,47.4%,0.94,1820,-24,32:25,13.9,14.8,6.1,6.6,68.4,52.6,2.58,51.6,3.0,0.47,47.4,1.00,-0.2,-310,4.11,0.58,46.3,32.5,2105,3.4,1.15,1.57
92,G2 Esports,S14,EUW,42,78.6%,1.35,1952,190,30:38,16.8,12.4,7.9,4.2,40.5,57.1,2.29,53.8,2.0,0.50,50.0,0.93,0.1,568,6.17,0.86,70.4,33.3,2434,3.6,1.15,1.56
93,Galakticos,S14,TR,14,0.0%,0.44,1607,-434,29:24,8.1,18.4,1.5,10.1,42.9,7.1,0.93,21.2,2.4,0.29,28.6,0.50,-0.6,-3064,2.57,0.07,3.6,31.3,1813,3.1,1.14,1.21
94,GAM Esports,S14,VN,40,72.5%,1.36,1930,138,34:19,17.9,13.2,7.5,5.2,50.0,65.0,2.75,55.6,3.8,0.45,45.0,0.78,0.1,347,4.65,0.93,62.9,33.1,2648,3.8,1.48,1.93
95,Gamespace Mediterranean College Esports,S14,GR,21,61.9%,1.08,1862,71,33:36,16.5,15.2,6.8,5.9,52.4,47.6,2.9,58.9,2.5,0.57,60.0,1.19,-0.1,225,3.29,0.95,61.1,31.9,2628,3.0,0.78,1.20
96,GameWard,S14,FR,18,38.9%,0.77,1779,-102,32:01,12.9,16.8,5.1,7.2,33.3,33.3,2.28,48.4,2.9,0.56,55.6,1.00,-0.1,-141,3.44,0.67,40.7,31.6,2264,3.3,1.33,1.45
97,Geekay Esports,S14,AL,32,62.5%,1.41,1929,168,32:03,17.8,12.7,7.7,4.9,53.1,59.4,2.63,59.2,3.7,0.41,41.9,0.94,0.3,1637,5.28,0.97,76.7,32.9,2517,3.4,1.30,1.48
98,Gen.G Challengers,S14,KR,42,16.7%,0.57,1732,-250,31:28,10.4,18.1,4.0,8.3,45.2,26.2,1.64,36.2,3.1,0.52,53.7,0.76,-0.5,-1897,3.26,0.45,25.8,32.6,2256,3.1,0.93,1.52
99,Gen.G eSports,S14,KR,53,81.1%,1.61,1952,234,32:23,15.0,9.3,8.2,4.1,43.4,73.6,3.02,65.7,3.5,0.47,47.2,1.11,0.2,824,4.51,0.91,70.4,34.8,2487,4.1,1.47,2.02
100,Gentle Mates,S14,FR,35,57.1%,1.22,1858,55,33:31,15.9,13.0,6.5,5.8,57.1,51.4,2.46,52.4,3.1,0.31,31.4,0.83,-0.1,277,4.14,1.09,60.3,32.4,2333,3.7,1.21,1.56
101,GIANTX,S14,EUW,27,33.3%,0.74,1737,-163,30:27,10.1,13.6,4.5,7.4,44.4,29.6,1.89,45.7,2.0,0.37,37.0,0.93,-0.3,-1196,3.00,0.52,41.7,32.4,2098,3.7,1.24,1.52
102,GIANTX Pride,S14,ES,32,56.3%,1.17,1836,62,33:01,16.1,13.8,6.5,5.7,43.8,53.1,2.63,57.8,3.0,0.69,68.8,1.22,0.0,271,3.41,0.91,57.3,31.5,2474,3.5,1.26,1.50
103,GLORE,S14,CZ,28,57.1%,0.91,1845,4,31:28,15.4,16.9,6.4,5.8,42.9,42.9,2.43,52.3,2.2,0.39,39.3,1.04,-0.3,-1060,3.82,0.75,54.3,31.9,2519,3.0,0.85,1.26
104,GnG Amazigh,S14,AL,14,35.7%,0.74,1801,-138,31:33,12.9,17.3,5.6,7.9,64.3,42.9,1.71,36.2,2.8,0.50,50.0,1.00,0.1,-528,3.07,0.57,34.5,32.9,2161,2.7,0.79,1.36
105,Ground Zero Gaming,S14,OCE,27,66.7%,1.13,1961,162,30:17,18.1,15.9,7.0,4.5,55.6,74.1,2.37,58.4,3.5,0.44,46.2,1.11,0.4,814,5.59,0.89,72.7,33.3,2852,2.8,0.93,1.50
106,GRP Esports,S14,PL,14,28.6%,0.61,1722,-179,33:13,12.5,20.4,4.9,7.6,42.9,42.9,1.79,35.8,3.4,0.43,42.9,0.64,0.0,-447,3.93,0.5,41.7,30.2,2358,2.8,0.73,1.10
107,GTZ Esports,S14,PT,32,53.1%,0.98,1832,-8,33:22,15.5,15.8,6.5,6.0,50.0,43.8,2.34,45.4,2.7,0.44,43.8,0.66,0.0,13,3.38,0.75,50.8,32.9,2261,2.8,0.99,1.29
108,Guasones,S14,ES,31,54.8%,1.04,1846,12,33:28,16.9,16.3,6.3,6.2,61.3,45.2,2.65,56.5,2.1,0.45,45.2,1.23,0.0,-448,3.19,0.84,50.5,31.8,2521,3.5,1.27,1.59
109,Hallow Crows,S14,TR,23,47.8%,0.97,1839,-18,33:22,16.6,17.0,6.2,6.8,56.5,34.8,2.48,51.7,2.9,0.43,45.5,1.05,0.0,-103,3.00,0.83,53.0,31.6,2383,2.6,0.74,1.18
